title,usr_code,review,place,travel_date,rating
Fun and scenic,Reasonable50,The Pier has it all. Great spot to stroll on a Sunny warm day. The location on the water makes it cool and breezy in the afternoon. Great views all around. ,Navy Pier Festival Hall Complex,June 2016,40
Very Touristy and Often Crowded but Still a Delight,gstrange8,Just the kind of place I usually don't like but this is an exception. The Shakespeare Theatre is a highlight to me. I love the Winter Garden. The Ferris Wheel is great. The Stained Glass Museum is amazing and free. There is some awful food but also some great places like Riva. The take away booths have gotten much better. Fun place. Recommend a day during the week and off season if you can manage it. ,Navy Pier Festival Hall Complex,May 2016,50
Tall Ships 2016,MJCorreia,"Visit was during festival, and although it was very busy, it is well worth the effort. Besides the available shopping, there are several amusement rides, to include a very large Ferris wheel, to enjoy.",Navy Pier Festival Hall Complex,August 2016,40
High end shopping but not exciting. ,JALToronto,The 900 Shops Mall is beautiful and fancy but will not appeal to most. Bloomingdales and Kate Spade are the memorable storefronts. ,The 900 Shops Mall,November 2017,40
"High end products, Not impressed",Sandra C,This store has a lot of high end products. I was not impressed with the styles. Bloomingdale was great but overpriced. Be willing to spend 200+ in one dress. ,The 900 Shops Mall,April 2018,40
Great,M971ESlaurena,xx c ya soon again! ,The 900 Shops Mall,May 2018,50
Interesting,Snowbank79,"When you need a bit of a break from the weather, this is a great place to come to relax and ""people-watch"". The decor, and the views are intriguing. While we didn't end up buying anything, we did look around. The shops and eateries have much to offer when you are in the mood.",The 900 Shops Mall,June 2018,40
It a fun place! ,Brenda K,"This is a small quaint venue. The architecture is absolutely beautiful. Though it is an old building, but this places makes for a great concert. ",The Vic Theatre,April 2017,40
Midnight Oil concert was fabulous!,DMack23,"I had not been to a show at the Vic in many years.  My husband, sister and I went to see Midnight Oil last night, a band I have waited 20 years to see in concert.  The tickets prices were reasonable for a general admission show, we got parking across the street through Spot Hero in the parking garage, also reasonable.  We were standing near the bar inside and deciding whether to try to get closer to the stage when we were approached by Jerry Mickelson, who said ""Are you all together?  I'm gonna put you in a box, follow me.""  And led us to the stage right upper box seating area!  THANKS, JERRY!  Wonderful little spot to see the show, sound was great, we had a server and it was a big, fun night, (though HOT up there)! Got out easily, kind of a long line to get out of the garage, but all in all, it was an awesoome night. :)",The Vic Theatre,May 2017,50
Nice theater,redblueyes,"I liked this theater.  I used to always see shows at House of Blues, but I've gone to one other theater that I can't recall.  This one was in a nice neighborhood as far as I can tell.  I think the sound was good. I can't really remember the bar.  I took ubers to/from the airports at about $20-25 if I recall.  It's very convenient to City Suites hotel around the corner and I stopped in Big City Tap a block or two away and had 50 cent tacos (on Tuesday) and happy hour was $3 beers.  I was very pleased with my Chicago overnighter.",The Vic Theatre,May 2017,40
Great Ryan Adams Concert,DonnaK542,"I did hear from friends that visited both the balcony and main floor (I stuck to MF), the acoustic wasn't great from the balcony. For me, I found the opening act hard to understand (so might've been the lead singer) but no problem with Adams.",The Vic Theatre,August 2017,40
Christkindle Market is A Tradition ,594gwenw,Fourth year of making a pilgrimage trip this wonderful Christmas market. Decided we prefer Friday afternoons to enjoy mulled wine and getting our annual dated mugs. So crowded on Saturdays. Wouldn’t miss it though.,Daley Center,December 2018,50
Christkindlmarkt experience,DK19P,"Went to the Christkrindlmarkt last night and it was one of my worst experiences in a long time. Horribly unorganized. The place was filled with people with no common sense. Traffic pile ups everywhere, especially near the venues within that serve alcohol. Would not recommend. Most booths seemed highly over priced as well.",Daley Center,December 2018,10
"Christkindlemarket...great concept, poor delivery.",GlobalExec,"We visited the market on a brisk, sunny afternoon and found it quite confusing, overpriced and lacking adequate tables for an enjoyable experience.  That said, it was a nice concept in central Chicago that made for a nice pre-Christmas visit to the Windy City.  It’s too bad, so much potential for this event and so poorly managed.",Daley Center,December 2018,20
Love this Tradition,lissacarlon,"Yes, it’s busy. Yes, it’s overpriced. Yes, it’s filled with people with no common sense (is that the Market’s fault?). But you get a fun experience and the chance to see some authentic German Christmas goods. The gluh wein is great! Plan for these drawbacks and you can enjoy. Froehliche Weihnachten!",Daley Center,December 2018,40
Winter Wonderland visit,Scott R,"We visited during the ""Winter Wonderland"" event and it was fabulous. With the weather being so cold this gave the kids, and us, an all day activity inside and out of the cold. There were a lot of different actives to choose from at Navy Pier and we had a blast!",Navy Pier Festival Hall Complex,December 2013,50
Great place for Walker Con convention!,LovingLife4us,Went here for the Walker Con convention and it was a very nice place to have it at in Chicago! Highly recommend eating breakfast outside of Navy Pier before hand because was very time consuming to eat inside because of the crowds. But if your not in a hurry and can take the time please enjoy the beautiful Navy Pier resteraunts that are within Navy Pier! ,Navy Pier Festival Hall Complex,February 2015,50
