title,travel_date,rating,place,usr_code,review
Great venue!,November 2016,50,The Fillmore Miami Beach at the Jackie Gleason Theater,wheretoadventure,Came here for an invite only concert that we won tickets for.  I loved the old time atmosphere.  Location is great and parking is easy since the convention center is on the same block.  There are pay to park lots and a large parking garage just a two minute walk away.
Best place for concert!,November 2016,50,The Fillmore Miami Beach at the Jackie Gleason Theater,EduardooSierra,"I went to see Ghost on Nov. 3rd and it was my first time at The Fillmore! Great place with good acoustic and the staff super friendly, looking forward to go to see more artists."
"Incredible Beach for the locals, sometimes has strong smells around",December 2016,40,North Shore Open Space Park,Alexander W,"The locals know this beach is just as good if not better than South Beach.  Parking available, less hassle, and more urban connection to the beach and park.  Little park connected to beach pathways offers a outdoor circuit workout path, and places a bike path to tour on bikes.  Across the street is lots of restaurants, and one/two blocks away on Collins and Washington offers tons of restaurants, shops, drugs stores, etc.  The beach is awesome,  the ocean stays at 1-2 feet for 500 feet out to see.  You can swin to the first sand bar 200 feet into the water, and then stand and the water will be up to your knees.  Nice water, great sand, friendly people, not to crowded, lifeguards all around.   Sometimes there is a little bit of a smell maybe sewage maybe dog poop but it comes from the distance via air.  Since beach always has a little smell (since it is connected to the ocean which is a thriving arena of life and death) it is easy to get used to.  People are nice, had space there everyday including Sat (Dec time period).  And walking around the blocks near the park is super fun too.   Bring beach chairs, towels, sunscreen and it says no drinking but it is not strict and if you are cool and keep it discreet no one will say anything.  Enjoy!!!"
"Overpriced, little value",October 2019,20,Jungle Island,Maria M,"Park was rather small and the price tag did not match. Show was great, petting zoo was disappointing."
Great Atmosphere,February 2017,50,The Falls Shopping Center,Fasfix,"When you don't need the crowds, this is the place to go to.  The open air shopping is very relaxing.  Good for the soul :)  There are places to eat, shop, watch a movie or just take a stroll.  Love this place!  Easy access parking."
Unique,February 2017,40,The Falls Shopping Center,capted1636,"The Falls Mall is a large shopping development built with all businesses facing and surrounding an open air courtyard . The court is a series of waterfalls, pools, fountains and landscaping. There are 90 - 100 businesses, including name retailers, several restaurants and a multiplex theater. Bloomingdale and Maces are the anchor stores. It is a pleasant place to take a stroll in an outdoor setting and away from the hustle and bustle zooming by on the streets just outside of the mall. If you want to shop, there are plenty of takers."
Nice outdoor mall!,February 2017,40,The Falls Shopping Center,n4cedeno,This is a nice outdoor mall. Great to walk around and not congested. The stores are good but not great . The restaurants are pretty good but not exciting.  they are all chain  Restaurants. Definitely visit.
"Great venue, terrible staff ",August 2017,30,The Fillmore Miami Beach at the Jackie Gleason Theater,emilycollins14,"The concert itself was amazing, the artist Khalid performed very well. The staff, however, was very rude. After the concert, I had a friend waiting in a long line to buy shirts. Having an aching back, I just wanted to sit down. In the span of about 20 minutes I was yelled at by 3 different people on the security staff. The 2nd person made me get up from the ground as if I was the reason they couldn't close even though there were at least 50 people in the line. I then waited at the side of the line and was berated by another man who demanded me to leave and when I explained that I had a friend waiting in the line, he insisted that I had to go into the crowded line with her, instead of just waiting near the door. Being in pain, I was already in a bad mood of sorts and these 3 rude people did not make the situation better. "
LAUGHS AND LOSERS,August 2017,10,The Fillmore Miami Beach at the Jackie Gleason Theater,1Trippermonth,"Attended the Bill Maher concert recently and was thoroughly entertained. While the surroundings in this old theater were quite dated, we enjoyed the show. The parking situation was an utter disaster. If you come to the Fillmore for an event, your best bet is to skip the valet parking and find a garage. The system they have is very disorganized and there was a lengthy wait after the show to get your car. All this for $25.00 plus a tip. Here's a tip, find parking elsewhere and probably find another venue to enjoy a concert in Miami. "
Great place after all these years!,August 2017,50,The Fillmore Miami Beach at the Jackie Gleason Theater,PhilipTurturro,Recently went to see Bill Maher and loved the show. We arrived early and parked on the street about 4 blocks away so parking was no problem. I was pleasantly surprised how well the theater has been kept up. Growing up in south Florida it's nice to visit a place that's still around! We would gladly visit again!
Great theater for music,August 2017,40,The Fillmore Miami Beach at the Jackie Gleason Theater,bigspyndoc1,"Don't get down to Miami Beach often, but  one of my favorite performers, Donald Fagen (of Steely Dan), was there, his only SoFL stop with his new, young solo band. Easy parking (municipal deck across the street), plenty of food and drink inside the theater--multiple bars. Had very good seats (Row H in the center orchestra) so we had no problem seeing/hearing. Can't speak for seats further back, but the place isn't that big so the sound must be decent throughout the venue. The show was outstanding!"
Dita Von Teese Burlesque Revue,September 2017,40,The Fillmore Miami Beach at the Jackie Gleason Theater,Angelle225,"We attended the Fillmore theater for the Dita Von Teese Art of the Teese Burlesque Revue. Dita was very elegant and true to character and she fit perfectly at this theater. The show was phenomenal. We laughed and we were shocked and we were enthralled. The production, the lights, the sound everything was spot on. I removed a star for a few reasons. The first reason is due to the fact one small bottle of water cost me 6 dollars no questions asked. The second thing that I didn't really like was the seats are close together with no arm rests which makes for uncomfortable seating for two plus hours. The third thing that I didn't care for was parking. Valet parking is 25 dollars no ifs, ands, or buts. We rode to another street and parked in a garage for 1 dollar an hour which makes more sense to me. When you're paying over 200 +dollar for tickets who wants to pay an extra 25 for parking and 6 for a water.  We didn't have any of the concessions but they had several stations of food and alcohol. I wish they had a more healthy option to offer, but alas they didn't at this time. As far as the theater goes the theater itself is beautiful. It's Old Hollywood glam with its red walls and hanging chandeliers. I'd come back here and watch another live show because overall I liked the history of the theater and the beauty of it just heightens and transforms the entire experience! "
