review,travel_date,place,title,usr_code,rating
"The Cooper Young district was recommended to us by some locals. We went on a Sunday & there sure wasn't much doing. Yes there are a lot of restaurants, but how many restaurants can you visit in a day? Only came across one shop that was open & then there was nothing. Hopefully I've misjudged an area by one afternoon, but it was the only afternoon I had & it didn't show me much.",October 2014,Cooper-Young Historic District,Maybe missed something??,Eleanor H,20
"Enjoyed my first time to this quiant little area packed full of shops, restaraunts, and bars. Historic area but clean and well maintained. I could spend a whole Saturday just walking and browsing the area. They even have a cute little kangaroo shuttle bus to take you from one end of town to the other.",December 2013,Cooper-Young Historic District,Great little neighborhood,SWIZZLEnSWIZZLE,50
"Cooper young is the fun district of memphis.  great shopping, great restaurants,  coffee shops and more. this neighborhood has everything so you really do not need to leave it.   you can go to dinner, go see live music then pick up a lete night snack on your way home.",December 2014,Cooper-Young Historic District,MY NEIGHBORHOOD,angel s,50
"Extensive photo collection of Ernest Withers. This is a great stop on Beale to learn about the civil rights movement and other significant events during this time. Entrance fee is donation based, certainly worth the visit. ",November 2016,Withers Collection Museum & Gallery,Must visit ,Justin S,50
Located toward the end of busy bustling Beale Street is this oasis of calm and a fabulous collection of black and white photographs. Spanning decades and at the right time and place locally the collection offers a real insight into the 50's and 60's in particular. We met a Miss V who was really helpful and a pleasure to talk to. Thank you for being the icing on the cake for our Memphis vacation,November 2016,Withers Collection Museum & Gallery,A really interesting find,R0b_Liz,50
"There is a restaurant in the back of the building, but it has never been open and serving food whenever I have visited.",December 2016,Withers Collection Museum & Gallery,Nice respite from the Beale Street crowds,mmemphis2016,50
Thank you to the staff for their hospitality and for keeping history alive.,January 2017,Withers Collection Museum & Gallery,A TRUE Jewel...,135bryanl,50
Stunning black and white photographs of the civil rights movement and soul music history in Memphis during the 50-60s. This man caught them all in good and bad condition. History captured in un-fake news!,March 2017,Withers Collection Museum & Gallery,Photojournalist dreamland,shell87124,40
"We went on the tour of this house and were so pleased. The young lady who gave the tour was so interesting she new so many details and facts.  She never rushed you through the tour and answered all our questions.  The house is just beautiful and so glad they saved it. All the beautiful details and wood work, stain glass just lovely.  Enjoy",May 2016,Woodruff-Fontaine House,Best tour,ebarone344,50
This was a nice beginning to our visit to Memphis. Knowledgeable staff. Plenty of pamphlets Good photo ops. air conditioned,May 2018,Tennessee Welcome Center,nice,KEN B,50
We really enjoyed this stop and gathered some useful info for our trip. The views of the Mississippi River and bridge alone are worth the stop. ,June 2018,Tennessee Welcome Center,First stop in Memphis,SuperTxMom,50
They were able to answer all my questions and provided information needed.  They are located near the Bass Pro Shop and the foot of the bridge.,May 2018,Tennessee Welcome Center,Helpful Folks,Ocean_Rover_Blue_Wat,50
"It was an awesome place, right on the river, had lots of shade and was family friendly. It had a lot of information about the city and surrounding communities. ",June 2018,Tennessee Welcome Center,Nice welcome center.,donna p,40
Stopped in to have a look around. Very large and spacious. The statue of Elvis is the reason for the season in this place. Not too many work here in the lobby. Washrooms are a must for us travellers and this is the high point for many. Some literature availble for us travellers. Near the downtown area. ,June 2018,Tennessee Welcome Center,New and Clean,Rick H,40
"I went for a brewery tour like I’ve done many times at other breweries and Holy Tour this was way too long! The person doing the tour talked for so long I started to get antsy and uninterested. The beer selection they chose was pretty good for your 4 tastes, but I was really unimpressed with all the information bein spit at me and barely being able to hear any of it with people in the brewery working.",January 2018,Wiseacre Brewery,Holy Tour,Ltourstheworld,30
Wiseacre has been my favorite beer for a couple of years now and we were so excited to finally visit last time we were in Memphis. The tap room is spacious with plenty of seating with some cool souvenirs for shopping. The outdoor space was awesome too with lots of activities and space. We enjoyed a family game of corn hole while we tasted our favorites!  ,December 2017,Wiseacre Brewery,Fun for the Whole Family,ecbronze,50
"The not-so-good: No food available. Was supposed to be a food truck on sit the evening we visited but there wasn't. There were pizza handouts on the tables but when we called the number there was no answer. If food is important to you you should call the place first to see if the expected food truck is actually there. No free guest Wi-Fi, which was a surprise to us. Finally, the bartender misidentified two of the three tasters we tried before selecting full sized glasses. After ordering the full-size glass of our favorite we found that out. To be fair, he dumped our glasses and gave us replacements without any extra charge.",February 2018,Wiseacre Brewery,"Good craft beer, nice atmosphere",JS1418,40
